"Timestamp","Calculated Flow with Offset","Compressor #1 Desire Flow SP For PID Murphy","Compressor #2 Desire Flow SP For PID Murphy","Compressor Flow Max Deadband","Derived Run Status","Fault Indication","Flow Status Mode","Hour Meter","Run Status Comp #1","Run Status Comp #2","Total Number Of Compressors","Total Number Of Wellheads","Well #1 Analog Output 1","Well #2 Analog Output 2","Well #3 Analog Output 3","Well #4 Analog Output 4","Wellhead #1 Calculated Desired Flow","Wellhead #1 Choke Flow Priority #","Wellhead #1 Choke Oil Priority #","Wellhead #1 Flow Running Status Percent","Wellhead #1 In Manual/Auto","Wellhead #1 Injection Differential Prs From Customer PLC","Wellhead #1 Injection Flow Rate From Customer PLC","Wellhead #1 Injection Static Pressure From Customer PLC","Wellhead #1 Injection Temp From Customer PLC","Wellhead #1 Max Flow Rate","Wellhead #1 PID Flow Release","WellHead #1 Running Status","Wellhead #1 Setpoint From Customer PLC","Wellhead #1 Yesterdays Total Flow","Wellhead #2 Calculated Desired Flow","Wellhead #2 Choke Flow Priority #","Wellhead #2 Choke Oil Priority #","Wellhead #2 Flow Running Status Percent","Wellhead #2 In Manual/Auto","Wellhead #2 Injection Differential Prs From Customer PLC","Wellhead #2 Injection Flow Rate From Customer PLC","Wellhead #2 Injection Static Pressure From Customer PLC","Wellhead #2 Injection Temp From Customer PLC","Wellhead #2 Max Flow Rate","Wellhead #2 PID Flow Release","Wellhead #2 PID Min Output","WellHead #2 Running Status","Wellhead #2 Setpoint From Customer PLC","Wellhead #2 Yesterdays Total Flow","Wellhead #3 Calculated Desired Flow","Wellhead #3 Choke Flow Priority #","Wellhead #3 Choke Oil Priority #","Wellhead #3 Flow Running Status Percent","Wellhead #3 In Manual/Auto","Wellhead #3 Injection Differential Prs From Customer PLC","Wellhead #3 Injection Flow Rate From Customer PLC","Wellhead #3 Injection Static Pressure From Customer PLC","Wellhead #3 Injection Temp From Customer PLC","Wellhead #3 Max Flow Rate","Wellhead #3 PID Flow Release","WellHead #3 Running Status","Wellhead #3 Setpoint From Customer PLC","Wellhead #3 Yesterdays Total Flow","Wellhead #4 Calculated Desired Flow","Wellhead #4 Choke Flow Priority #","Wellhead #4 Choke Oil Priority #","Wellhead #4 Flow Running Status Percent","Wellhead #4 In Manual/Auto","Wellhead #4 Injection Differential Prs From Customer PLC","Wellhead #4 Injection Flow Rate From Customer PLC","Wellhead #4 Injection Static Pressure From Customer PLC","Wellhead #4 Injection Temp From Customer PLC","Wellhead #4 Max Flow Rate","Wellhead #4 PID Flow Release","Wellhead #4 PID Min Output","Wellhead #4 Setpoint From Customer PLC","Wellhead #4 Yesterdays Total Flow"
"4/12/2026 09:38:33 AM","3163","","","","","Panel Reset/Standby","","5361","Running","Running","","","66","64","71","72","0.800","","","","","44","0.806","799","136","","","Online","1.000","0.817","0.800","","","","","46","0.825","802","136","","","","Online","0.750","0.817","0.800","","","","","44","0.811","802","136","","","Online","0.800","0.817","0.763","","","","","42","0.798","802","136","","","","0.800","0.824"
"4/12/2026 09:23:33 AM","3190","","","","","Panel Reset/Standby","","5361","Running","Running","","","67","65","71","73","0.835","","","","","45","0.823","803","135","","","Online","1.000","0.817","0.835","","","","","46","0.830","803","134","","","","Online","0.750","0.817","0.835","","","","","44","0.816","803","135","","","Online","0.800","0.817","0.825","","","","","44","0.814","803","134","","","","0.800","0.824"
"4/12/2026 09:08:33 AM","3244","","","","","Panel Reset/Standby","","5361","Running","Running","","","66","64","71","73","0.800","","","","","44","0.810","800","135","","","Online","1.000","0.817","0.800","","","","","43","0.807","800","134","","","","Online","0.750","0.817","0.800","","","","","42","0.792","801","134","","","Online","0.800","0.817","0.844","","","","","43","0.810","801","133","","","","0.800","0.824"
"4/12/2026 08:53:33 AM","3210","","","","","Panel Reset/Standby","","5360","Running","Running","","","67","65","72","73","0.835","","","","","45","0.820","807","138","","","Online","1.000","0.817","0.835","","","","","46","0.827","806","137","","","","Online","0.750","0.817","0.835","","","","","47","0.835","805","137","","","Online","0.800","0.817","0.845","","","","","45","0.827","805","137","","","","0.800","0.824"
"4/12/2026 08:38:33 AM","3170","","","","","Panel Reset/Standby","","5360","Running","Running","","","66","64","71","72","0.805","","","","","45","0.813","808","142","","","Online","1.000","0.817","0.805","","","","","44","0.806","808","142","","","","Online","0.750","0.817","0.805","","","","","45","0.822","808","142","","","Online","0.800","0.817","0.785","","","","","43","0.797","808","143","","","","0.800","0.824"
"4/12/2026 08:23:33 AM","3150","","","","","Panel Reset/Standby","","5360","Running","Running","","","67","65","72","72","0.825","","","","","45","0.818","811","142","","","Online","1.000","0.817","0.825","","","","","45","0.816","811","141","","","","Online","0.750","0.817","0.825","","","","","47","0.835","810","142","","","Online","0.800","0.817","0.775","","","","","38","0.753","810","142","","","","0.800","0.824"
"4/12/2026 08:08:33 AM","3200","","","","","Panel Reset/Standby","","5360","Running","Running","","","67","64","71","73","0.805","","","","","44","0.805","805","143","","","Online","1.000","0.817","0.805","","","","","44","0.803","804","143","","","","Online","0.750","0.817","0.805","","","","","804","0.805","803","143","","","Online","0.800","0.817","0.805","","","","","45","0.812","804","145","","","","0.800","0.824"
"4/12/2026 07:53:33 AM","3154","","","","","Panel Reset/Standby","","5359","Running","Running","","","67","64","72","72","0.800","","","","","44","0.805","802","144","","","Online","1.000","0.817","0.800","","","","","802","0.799","801","143","","","","Online","0.750","0.817","0.800","","","","","46","0.825","802","144","","","Online","0.800","0.817","0.756","","","","","43","0.785","801","146","","","","0.800","0.824"
"4/12/2026 07:38:33 AM","3110","","","","","Panel Reset/Standby","","5359","Running","Running","","","67","65","72","71","0.825","","","","","45","0.816","807","144","","","Online","1.000","0.817","0.825","","","","","46","0.824","806","144","","","","Online","0.750","0.817","0.825","","","","","45","0.811","807","144","","","Online","0.800","0.817","0.745","","","","","37","0.737","807","146","","","","0.800","0.824"
"4/12/2026 07:23:33 AM","3130","","","","","Panel Reset/Standby","","5359","Running","Running","","","66","64","72","71","0.820","","","","","44","0.812","815","142","","","Online","1.000","0.817","0.820","","","","","44","0.810","815","142","","","","Online","0.750","0.817","0.820","","","","","42","0.792","815","142","","","Online","0.800","0.817","0.760","","","","","40","0.778","815","143","","","","0.800","0.824"
