"Timestamp","Altronic Engine State","Calculated Flow with Offset","Compressor #1 Desire Flow SP For PID Murphy","Compressor #2 Desire Flow SP For PID Murphy","Hour Meter","Run Status Comp #1","Run Status Comp #2","Run Status Comp 1 2073","Run Status Comp 2 2074","Well #1 Analog Output 1","Well #2 Analog Output 2","Well #3 Analog Output 3","Well #4 Analog Output 4","Wellhead #1 Calculated Desired Flow","Wellhead #1 Choke Flow Priority #","Wellhead #1 Choke Oil Priority #","Wellhead #1 Flow Running Status Percent","Wellhead #1 Injection Differential Prs From Customer PLC","Wellhead #1 Injection Flow Rate From Customer PLC","Wellhead #1 Injection Static Pressure From Customer PLC","Wellhead #1 Injection Temp From Customer PLC","Wellhead #1 Max Flow Rate","WellHead #1 Running Status","Wellhead #1 Yesterday's Total Flow","Wellhead #1 Yesterdays Total Flow","Wellhead #2 Calculated Desired Flow","Wellhead #2 Injection Differential Prs From Customer PLC","Wellhead #2 Injection Flow Rate From Customer PLC","Wellhead #2 Injection Static Pressure From Customer PLC","Wellhead #2 Injection Temp From Customer PLC","WellHead #2 Running Status","Wellhead #2 Setpoint From Customer PLC","Wellhead #2 Yesterday's Total Flow","Wellhead #2 Yesterdays Total Flow","Wellhead #3 Calculated Desired Flow","Wellhead #3 Injection Differential Prs From Customer PLC","Wellhead #3 Injection Flow Rate From Customer PLC","Wellhead #3 Injection Static Pressure From Customer PLC","Wellhead #3 Injection Temp From Customer PLC","WellHead #3 Running Status","Wellhead #3 Setpoint From Customer PLC","Wellhead #3 Yesterday's Total Flow","Wellhead #3 Yesterdays Total Flow","Wellhead #4 Calculated Desired Flow","Wellhead #4 Injection Differential Prs From Customer PLC","Wellhead #4 Injection Flow Rate From Customer PLC","Wellhead #4 Injection Static Pressure From Customer PLC","Wellhead #4 Injection Temp From Customer PLC","Wellhead #4 Max Flow Rate","Wellhead #4 PID Flow Release","Wellhead #4 PID Min Output","WellHead #4 Running Status","Wellhead #4 Setpoint From Customer PLC","Wellhead #4 Yesterday's Total Flow","Wellhead #4 Yesterdays Total Flow"
"4/17/2026 09:15:00 AM","","3160","","","5481","Running","Running","","","66","64","71","71","0.820","","","","44","0.816","817","138","","Online","","0.815","0.820","44","0.815","817","137","Online","0.750","","0.815","0.820","45","0.830","817","137","Online","0.800","","0.815","0.780","39","0.773","817","136","","","","Online","0.800","","0.789"
"4/17/2026 09:11:42 AM","Running","3190","1.603","1.603","5481","Running","Running","","","66","64","71","72","0.815","1","1","3","44","0.809","810","139","0.800","Online","","0.815","0.815","44","0.815","809","138","Online","0.750","","0.815","0.815","45","0.819","809","138","Online","0.800","","0.815","0.805","41","0.790","809","137","0.800","0.000","65","Online","0.800","","0.789"
"4/17/2026 09:00:00 AM","","3210","","","5480","Running","Running","","","66","64","71","72","0.820","","","","43","0.819","838","140","","Online","","0.815","0.820","43","0.820","838","139","Online","0.750","","0.815","0.820","43","0.818","838","139","Online","0.800","","0.815","0.830","44","0.829","839","138","","","","Online","0.800","","0.789"
"4/17/2026 08:45:00 AM","","3100","","","5480","Running","Running","","","66","64","71","70","0.805","","","","44","0.813","808","137","","Online","","0.815","0.805","43","0.805","808","136","Online","0.750","","0.815","0.805","44","0.812","808","137","Online","0.800","","0.815","0.705","34","0.724","809","135","","","","Online","0.800","","0.789"
"4/17/2026 08:35:38 AM","Running","3050","1.603","1.603","5480","Running","Running","","","66","64","71","68","0.825","1","1","3","45","0.821","812","137","0.800","Online","","0.815","0.825","44","0.818","813","136","Online","0.750","","0.815","0.825","43","0.804","813","137","Online","0.800","","0.815","0.675","28","0.655","814","135","0.800","0.000","65","Online","0.800","","0.789"
"4/17/2026 08:32:54 AM","Running","3069","1.703","1.703","5480","Running","Running","","","67","64","71","69","0.800","1","1","3","44","0.811","801","138","0.800","Online","","0.815","0.800","44","0.806","801","137","Online","0.750","","0.815","0.800","43","0.804","801","137","Online","0.800","","0.815","0.670","29","0.666","801","135","1.000","0.000","65","Online","0.800","","0.789"
"4/17/2026 08:32:51 AM","Running","3069","1.703","1.703","5480","Running","Running","","","67","64","71","69","0.800","1","1","3","44","0.811","801","138","0.800","Online","","0.815","0.800","44","0.806","801","137","Online","0.750","","0.815","0.800","45","0.818","801","137","Online","0.800","","0.815","0.670","29","0.665","801","135","1.000","0.000","65","Online","0.800","","0.789"
"4/17/2026 08:30:00 AM","","3030","","","5480","Running","Running","","","66","64","71","68","0.810","","","","44","0.814","807","138","","Online","","0.815","0.810","44","0.809","807","137","Online","0.750","","0.815","0.810","42","0.799","807","138","Online","0.800","","0.815","0.640","29","0.668","808","136","","","","Online","0.800","","0.789"
"4/17/2026 08:15:00 AM","","3070","","","5480","Running","Running","","","66","64","71","69","0.830","","","","45","0.823","817","137","","Online","","0.815","0.830","44","0.823","816","136","Online","0.750","","0.815","0.830","45","0.832","816","136","Online","0.800","","0.815","0.700","32","0.701","816","135","","","","Online","0.800","","0.789"
"4/17/2026 08:00:00 AM","","3129","","","5479","Running","Running","","","66","64","71","71","0.800","","","","43","0.804","800","135","","Online","","0.815","0.800","43","0.804","800","134","Online","0.750","","0.815","0.800","45","0.817","800","134","Online","0.800","","0.815","0.729","36","0.739","800","132","","","","Online","0.800","","0.789"
